Date,open,high,low,close,volume,dividends,stock splits,capital gains
2026-06-01 00:00:00-04:00,69.02124352178132,70.14540531603046,68.77253623490411,69.7176284790039,31731100,0.0,0.0,0.0
2026-06-02 00:00:00-04:00,69.92654156565824,70.49359387513877,69.69772752256004,70.43390655517578,16577400,0.0,0.0,0.0
2026-06-03 00:00:00-04:00,70.05586334108264,70.105607832018,69.20030970861173,69.5584487915039,22147100,0.0,0.0,0.0
2026-06-04 00:00:00-04:00,68.16568832578022,68.93171100262755,67.72796867181135,68.74269104003906,21260300,0.0,0.0,0.0
2026-06-05 00:00:00-04:00,66.38495335339552,66.54412207262502,64.02720550588369,64.25601196289062,56184500,0.0,0.0,0.0
2026-06-08 00:00:00-04:00,65.7283562900093,66.02680804670838,65.25083499727947,65.4100112915039,29088400,0.0,0.0,0.0
2026-06-09 00:00:00-04:00,66.86246427502283,67.1111715551367,63.73870144398798,65.47965240478516,42106700,0.0,0.0,0.0
2026-06-10 00:00:00-04:00,64.97228591747782,65.93727135627353,64.24606492679943,64.32565307617188,37541900,0.0,0.0,0.0
2026-06-11 00:00:00-04:00,64.93249064394082,67.25044421949683,64.8429596700076,67.15096282958984,41505700,0.0,0.0,0.0
2026-06-12 00:00:00-04:00,67.18081064740721,67.84734434999369,66.74308339678016,67.52899932861328,39782800,0.0,0.0,0.0
2026-06-15 00:00:00-04:00,69.61000061035156,69.87999725341797,69.37999725341797,69.75,37751500,0.351,0.0,0.0
2026-06-16 00:00:00-04:00,69.33000183105469,69.73999786376953,68.58000183105469,68.63999938964844,31283500,0.0,0.0,0.0
2026-06-17 00:00:00-04:00,69.56999969482422,70.08000183105469,68.41000366210938,68.55999755859375,36131300,0.0,0.0,0.0
2026-06-18 00:00:00-04:00,70.18000030517578,70.91999816894531,70.1500015258789,70.79000091552734,49998100,0.0,0.0,0.0
2026-06-22 00:00:00-04:00,71.29000091552734,71.56999969482422,70.98999786376953,71.20999908447266,25302200,0.0,0.0,0.0
2026-06-23 00:00:00-04:00,67.25,68.2300033569336,67.06999969482422,67.16999816894531,39069000,0.0,0.0,0.0
2026-06-24 00:00:00-04:00,67.37999725341797,67.61000061035156,66.5999984741211,67.25,22973300,0.0,0.0,0.0
2026-06-25 00:00:00-04:00,68.91000366210938,68.98999786376953,67.2699966430664,67.95999908447266,24474400,0.0,0.0,0.0
2026-06-26 00:00:00-04:00,66.33999633789062,67.72000122070312,66.2699966430664,67.19000244140625,24158700,0.0,0.0,0.0
2026-06-29 00:00:00-04:00,66.98999786376953,67.45999908447266,66.0,67.43000030517578,18609700,0.0,0.0,0.0
2026-06-30 00:00:00-04:00,67.58999633789062,68.5,67.4800033569336,68.41000366210938,20384300,0.0,0.0,0.0
2026-07-01 00:00:00-04:00,66.91000366210938,67.45999908447266,66.4800033569336,66.4800033569336,28146700,0.0,0.0,0.0
2026-07-02 00:00:00-04:00,66.52999877929688,67.19000244140625,64.80000305175781,65.69999694824219,34258700,0.0,0.0,0.0
2026-07-06 00:00:00-04:00,67.25,67.79000091552734,67.20999908447266,67.56999969482422,24039300,0.0,0.0,0.0
2026-07-07 00:00:00-04:00,65.98999786376953,66.33000183105469,65.26000213623047,65.72000122070312,26285100,0.0,0.0,0.0
2026-07-08 00:00:00-04:00,65.16000366210938,66.25,64.97000122070312,66.2300033569336,20723500,0.0,0.0,0.0
2026-07-09 00:00:00-04:00,66.56999969482422,66.95999908447266,66.37000274658203,66.77999877929688,19566800,0.0,0.0,0.0
2026-07-10 00:00:00-04:00,66.54000091552734,67.0199966430664,66.19000244140625,66.9000015258789,18694800,0.0,0.0,0.0
2026-07-13 00:00:00-04:00,65.19000244140625,65.29000091552734,64.38999938964844,64.5,25474800,0.0,0.0,0.0
2026-07-14 00:00:00-04:00,65.52999877929688,65.80000305175781,65.11000061035156,65.66999816894531,18557800,0.0,0.0,0.0
2026-07-15 00:00:00-04:00,65.87000274658203,66.04000091552734,64.66000366210938,65.56999969482422,30073900,0.0,0.0,0.0
2026-07-16 00:00:00-04:00,64.43000030517578,64.72000122070312,63.91999816894531,64.19000244140625,21565700,0.0,0.0,0.0
2026-07-17 00:00:00-04:00,62.29999923706055,63.88999938964844,62.0099983215332,63.290000915527344,35145100,0.0,0.0,0.0
2026-07-20 00:00:00-04:00,64.04000091552734,64.16999816894531,63.47999954223633,63.560001373291016,19269600,0.0,0.0,0.0
2026-07-21 00:00:00-04:00,65.12000274658203,65.5,64.81999969482422,65.33999633789062,20839300,0.0,0.0,0.0
2026-07-22 00:00:00-04:00,64.63999938964844,65.19000244140625,64.62999725341797,64.98999786376953,13399800,0.0,0.0,0.0
2026-07-23 00:00:00-04:00,64.48999786376953,65.04000091552734,63.9900016784668,64.5999984741211,13003300,0.0,0.0,0.0
2026-07-24 00:00:00-04:00,63.95000076293945,64.1500015258789,63.25,63.33000183105469,20525600,0.0,0.0,0.0
2026-07-27 00:00:00-04:00,64.22000122070312,64.2699966430664,62.849998474121094,63.619998931884766,23439900,0.0,0.0,0.0
2026-07-28 00:00:00-04:00,62.060001373291016,62.79999923706055,61.68000030517578,62.36000061035156,28991800,0.0,0.0,0.0
2026-07-29 00:00:00-04:00,61.72999954223633,62.70000076293945,60.77000045776367,61.06999969482422,32436600,0.0,0.0,0.0
2026-07-30 00:00:00-04:00,62.47999954223633,63.63999938964844,62.29999923706055,63.59000015258789,42233300,0.0,0.0,0.0
2026-07-31 00:00:00-04:00,64.93000030517578,65.05999755859375,63.5099983215332,64.08999633789062,31148600,0.0,0.0,0.0
2026-08-03 00:00:00-04:00,63.7400016784668,64.44999694824219,63.34000015258789,64.31999969482422,21829600,0.0,0.0,0.0
2026-08-04 00:00:00-04:00,65.22000122070312,66.13999938964844,65.12000274658203,66.0,25811400,0.0,0.0,0.0
2026-08-05 00:00:00-04:00,65.94999694824219,66.23999786376953,65.66999816894531,65.72000122070312,21452700,0.0,0.0,0.0
2026-08-06 00:00:00-04:00,64.68000030517578,65.55999755859375,64.47000122070312,65.0199966430664,20782000,0.0,0.0,0.0
2026-08-07 00:00:00-04:00,65.87000274658203,65.94000244140625,65.01000213623047,65.63999938964844,21462100,0.0,0.0,0.0
2026-08-10 00:00:00-04:00,65.20999908447266,65.36000061035156,64.9800033569336,65.16999816894531,19094800,0.0,0.0,0.0
2026-08-11 00:00:00-04:00,65.62000274658203,65.75,65.19000244140625,65.43000030517578,9763400,0.0,0.0,0.0
2026-08-12 00:00:00-04:00,66.61000061035156,66.66999816894531,66.19999694824219,66.45999908447266,20256500,0.0,0.0,0.0
2026-08-13 00:00:00-04:00,66.41999816894531,66.97000122070312,66.3499984741211,66.68000030517578,14548800,0.0,0.0,0.0
2026-08-14 00:00:00-04:00,66.8499984741211,67.08999633789062,66.41999816894531,66.61000061035156,11964600,0.0,0.0,0.0
2026-08-17 00:00:00-04:00,67.33000183105469,67.94000244140625,67.2300033569336,67.31999969482422,17036900,0.0,0.0,0.0
2026-08-18 00:00:00-04:00,66.02999877929688,66.27999877929688,65.25,65.33999633789062,24782800,0.0,0.0,0.0
2026-08-19 00:00:00-04:00,66.55000305175781,66.5999984741211,65.83999633789062,66.11000061035156,16168600,0.0,0.0,0.0
2026-08-20 00:00:00-04:00,66.18000030517578,66.80999755859375,66.13999938964844,66.62000274658203,16821800,0.0,0.0,0.0
2026-08-21 00:00:00-04:00,67.43000030517578,67.48999786376953,66.97000122070312,67.12000274658203,18381100,0.0,0.0,0.0
2026-08-24 00:00:00-04:00,66.4000015258789,66.44000244140625,65.77999877929688,66.11000061035156,16073600,0.0,0.0,0.0
2026-08-25 00:00:00-04:00,66.83999633789062,67.29000091552734,66.62999725341797,67.25,16396000,0.0,0.0,0.0
2026-08-26 00:00:00-04:00,67.36000061035156,67.55000305175781,67.13999938964844,67.16999816894531,14934200,0.0,0.0,0.0
2026-08-27 00:00:00-04:00,67.56999969482422,67.69000244140625,67.20999908447266,67.61000061035156,10911200,0.0,0.0,0.0
2026-08-28 00:00:00-04:00,67.69999694824219,68.0,66.97000122070312,67.13999938964844,11763200,0.0,0.0,0.0
2026-08-31 00:00:00-04:00,67.29000091552734,67.41000366210938,66.80999755859375,67.0199966430664,20905000,0.0,0.0,0.0
2026-09-01 00:00:00-04:00,67.05999755859375,67.43000030517578,66.55999755859375,66.7699966430664,17084500,0.0,0.0,0.0
2026-09-02 00:00:00-04:00,66.80999755859375,67.19999694824219,66.7699966430664,67.1500015258789,9798200,0.0,0.0,0.0
2026-09-03 00:00:00-04:00,67.06999969482422,67.55000305175781,66.70999908447266,67.47000122070312,12193800,0.0,0.0,0.0
2026-09-04 00:00:00-04:00,67.7300033569336,68.7300033569336,67.7300033569336,68.69999694824219,22132500,0.0,0.0,0.0
2026-09-08 00:00:00-04:00,68.98999786376953,69.12999725341797,68.72000122070312,68.83000183105469,18049000,0.0,0.0,0.0
2026-09-09 00:00:00-04:00,68.66000366210938,69.0,68.30000305175781,68.4800033569336,16270900,0.0,0.0,0.0
2026-09-10 00:00:00-04:00,67.37000274658203,67.51000213623047,66.95999908447266,67.0,22821000,0.0,0.0,0.0
2026-09-11 00:00:00-04:00,,,,,21449138,0.0,0.0,0.0
